,Unnamed: 0,rest company,rest company industry
546,546,5196,輸送用機器
547,547,7248,輸送用機器
548,548,1848,1848
549,549,2662,小売業
550,550,5919,金属製品
551,551,5205,5205
552,552,5206,5206
553,553,5207,5207
554,554,7253,7253
555,555,7257,7257
556,556,7258,7258
557,557,5211,5211
558,558,3163,小売業
559,559,5213,5213
560,560,9309,9309
561,561,7262,輸送用機器
562,562,7263,輸送用機器
563,563,1851,1851
564,564,5215,5215
565,565,2665,情報・通信業
566,566,9317,倉庫・運輸関連
567,567,9320,倉庫・運輸関連
568,568,9321,倉庫・運輸関連
569,569,7275,7275
570,570,1853,建設業
571,571,5924,5924
572,572,5231,5231
573,573,7281,7281
574,574,5234,ガラス・土石製品
575,575,5235,5235
576,576,5236,5236
577,577,7285,7285
578,578,5238,5238
579,579,3890,3890
580,580,7960,その他製品
581,581,1856,1856
582,582,3203,3203
583,583,3893,パルプ・紙
584,584,7301,輸送用機器
585,585,3206,3206
586,586,3207,3207
587,587,9352,9352
588,588,7304,7304
589,589,3210,3210
590,590,7306,7306
591,591,7964,7964
592,592,5263,5263
593,593,3216,繊維製品
594,594,7312,輸送用機器
595,595,5266,5266
596,596,5267,ガラス・土石製品
597,597,7967,7967
598,598,5270,5270
599,599,5272,5272
600,600,1862,1862
601,601,7968,7968
602,602,8106,8106
603,603,5276,ガラス・土石製品
604,604,9373,サービス業
605,605,9374,9374
606,606,7969,7969
607,607,3225,不動産業
608,608,4713,サービス業
609,609,9382,陸運業
610,610,5290,ガラス・土石製品
611,611,5937,5937
612,612,7973,7973
613,613,5303,5303
614,614,5305,5305
615,615,7354,サービス業
616,616,7358,サービス業
617,617,3265,不動産業
618,618,9411,情報・通信業
619,619,3267,建設業
620,620,1873,建設業
621,621,9427,情報・通信業
622,622,9429,9429
623,623,9430,情報・通信業
624,624,5335,ガラス・土石製品
625,625,5336,5336
626,626,9431,9431
627,627,5338,5338
628,628,9434,情報・通信業
629,629,2690,小売業
630,630,5345,ガラス・土石製品
631,631,9442,9442
632,632,9443,9443
633,633,5948,5948
634,634,9447,9447
635,635,3304,3304
636,636,3305,3305
637,637,9448,9448
638,638,9450,情報・通信業
639,639,7407,7407
640,640,5359,5359
641,641,5361,5361
642,642,5362,5362
643,643,7411,7411
644,644,5368,ガラス・土石製品
645,645,7423,7423
646,646,7424,7424
647,647,7428,7428
648,648,7429,7429
649,649,9477,情報・通信業
650,650,7431,7431
651,651,3332,3332
652,652,5385,5385
653,653,3337,3337
654,654,7436,7436
655,655,5389,ガラス・土石製品
656,656,5390,ガラス・土石製品
657,657,7437,7437
658,658,5394,5394
659,659,5397,5397
660,660,5398,ガラス・土石製品
661,661,5403,5403
662,662,5404,5404
663,663,5405,5405
664,664,5407,鉄鋼
665,665,4738,サービス業
666,666,3362,小売業
667,667,5422,5422
668,668,5426,5426
669,669,1331,1331
670,670,7474,7474
671,671,4742,4742
672,672,1334,水産・農林業
673,673,7479,7479
674,674,8000,8000
675,675,7484,7484
676,676,7489,卸売業
677,677,5442,5442
678,678,5443,5443
679,679,9540,電気・ガス業
680,680,9541,9541
681,681,7492,7492
682,682,1351,1351
683,683,5447,5447
684,684,7496,7496
685,685,5450,輸送用機器
686,686,3403,3403
687,687,5452,5452
688,688,3404,化学
689,689,5454,5454
690,690,7498,7498
691,691,9544,電気・ガス業
692,692,5457,鉄鋼
693,693,3411,3411
694,694,5462,5462
695,695,1375,水産・農林業
696,696,1378,水産・農林業
697,697,3428,3428
698,698,5478,5478
699,699,5479,鉄鋼
700,700,7526,7526
701,701,3432,非鉄金属
702,702,7530,7530
703,703,6790,6790
704,704,7541,小売業
705,705,3446,金属製品
706,706,3447,金属製品
707,707,3449,金属製品
708,708,7549,7549
709,709,1405,建設業
710,710,7557,7557
711,711,9606,9606
712,712,9607,情報・通信業
713,713,7558,卸売業
714,714,9609,9609
715,715,7560,サービス業
716,716,7563,卸売業
717,717,1413,建設業
718,718,1419,建設業
719,719,9614,9614
720,720,9615,サービス業
721,721,1420,建設業
722,722,9617,サービス業
723,723,9618,9618
724,724,9620,9620
725,725,7573,7573
726,726,1429,建設業
727,727,9623,サービス業
728,728,7576,7576
729,729,1430,建設業
730,730,1433,建設業
731,731,7579,7579
732,732,7580,7580
733,733,1434,建設業
734,734,9630,9630
735,735,7583,7583
736,736,7584,7584
737,737,7582,7582
738,738,1438,建設業
739,739,1439,建設業
740,740,7588,7588
741,741,1443,建設業
742,742,3489,3489
743,743,1446,1446
744,744,5544,5544
745,745,1448,建設業
746,746,9642,9642
747,747,1451,建設業
748,748,9645,9645
749,749,3502,3502
750,750,3503,3503
751,751,9648,サービス業
752,752,9649,9649
753,753,9646,9646
754,754,9650,9650
755,755,9654,サービス業
756,756,1919,建設業
757,757,5562,5562
758,758,3514,繊維製品
759,759,9660,9660
760,760,5566,鉄鋼
761,761,9665,9665
762,762,9666,9666
763,763,9667,サービス業
764,764,7617,小売業
765,765,9669,9669
766,766,9673,9673
767,767,7626,7626
768,768,3532,3532
769,769,3533,3533
770,770,3534,その他製品
771,771,7631,7631
772,772,9680,サービス業
773,773,9683,9683
774,774,7639,7639
775,775,7641,小売業
776,776,9693,9693
777,777,9694,9694
778,778,1503,1503
779,779,3552,化学
780,780,9700,9700
781,781,5605,輸送用機器
782,782,5606,鉄鋼
783,783,9703,9703
784,784,5608,5608
785,785,9705,9705
786,786,9710,9710
787,787,3570,3570
788,788,9714,9714
789,789,3572,3572
790,790,3573,3573
791,791,7670,卸売業
792,792,3576,3576
793,793,7673,7673
794,794,7675,卸売業
795,795,9724,9724
796,796,9725,9725
797,797,3581,3581
798,798,9727,9727
799,799,3584,3584
800,800,5633,5633
801,801,3585,繊維製品
802,802,1933,建設業
803,803,9732,9732
804,804,7679,小売業
805,805,7686,卸売業
806,806,7682,7682
807,807,7681,7681
808,808,5641,鉄鋼
809,809,5642,5642
810,810,9738,9738
811,811,9737,サービス業
812,812,9741,サービス業
813,813,3601,3601
814,814,3602,3602
815,815,9748,9748
816,816,3605,繊維製品
817,817,9750,サービス業
818,818,5655,5655
819,819,7704,電気機器
820,820,5657,鉄鋼
821,821,9751,9751
822,822,9752,9752
823,823,3612,卸売業
824,824,7710,7710
825,825,9762,9762
826,826,7714,7714
827,827,9764,建設業
828,828,3620,情報・通信業
829,829,7720,7720
830,830,7724,7724
831,831,7728,輸送用機器
832,832,9777,9777
833,833,7736,精密機器
834,834,7738,7738
835,835,5691,5691
836,836,9786,9786
837,837,9789,サービス業
838,838,3644,情報・通信業
839,839,5690,鉄鋼
840,840,1601,1601
841,841,1603,1603
842,842,1604,1604
843,843,5701,非鉄金属
844,844,7750,7750
845,845,7753,7753
846,846,7754,7754
847,847,7755,7755
848,848,7756,精密機器
849,849,7757,精密機器
850,850,9275,小売業
851,851,7764,7764
852,852,7765,7765
853,853,9814,卸売業
854,854,9815,サービス業
855,855,5716,5716
856,856,9819,小売業
857,857,5725,5725
858,858,5728,5728
859,859,9825,9825
860,860,5734,5734
861,861,5737,5737
862,862,5738,非鉄金属
863,863,5739,非鉄金属
864,864,5740,5740
865,865,9833,9833
866,866,9834,9834
867,867,9840,9840
868,868,9844,卸売業
869,869,3702,3702
870,870,5752,5752
871,871,9848,9848
872,872,3706,3706
873,873,3707,3707
874,874,9851,9851
875,875,1661,鉱業
876,876,5755,5755
877,877,9855,9855
878,878,3713,情報・通信業
879,879,9859,9859
880,880,9860,9860
881,881,3715,情報・通信業
882,882,3717,3717
883,883,9863,9863
884,884,9864,9864
885,885,9865,9865
886,886,9866,9866
887,887,5771,5771
888,888,8067,8067
889,889,9868,9868
890,890,9870,9870
891,891,9871,9871
892,892,9874,小売業
893,893,9875,9875
894,894,9879,9879
895,895,3735,サービス業
896,896,9883,卸売業
897,897,9884,卸売業
898,898,1965,1965
899,899,9891,9891
900,900,1701,鉱業
901,901,1702,ガラス・土石製品
902,902,9894,9894
903,903,9893,9893
904,904,9897,卸売業
905,905,5804,非鉄金属
906,906,7853,その他製品
907,907,7854,7854
908,908,1711,建設業
909,909,5808,5808
910,910,1712,建設業
911,911,5810,5810
912,912,1710,1710
913,913,5812,非鉄金属
914,914,1717,建設業
915,915,1716,建設業
916,916,9911,9911
917,917,9912,卸売業
918,918,1722,1722
919,919,9915,9915
920,920,9916,卸売業
921,921,1725,建設業
922,922,9918,9918
923,923,1726,建設業
924,924,9921,9921
925,925,9922,金属製品
926,926,1734,建設業
927,927,1737,1737
928,928,7882,化学
929,929,1738,1738
930,930,1740,1740
931,931,9933,9933
932,932,1742,サービス業
933,933,9935,小売業
934,934,1743,建設業
935,935,9937,小売業
936,936,9938,卸売業
937,937,1746,1746
938,938,9940,9940
939,939,7892,7892
940,940,1750,建設業
941,941,1747,1747
942,942,9944,9944
943,943,1752,1752
944,944,1745,1745
945,945,9947,9947
946,946,1755,1755
947,947,5853,5853
948,948,5854,5854
949,949,5855,その他製品
950,950,7904,卸売業
951,951,9953,9953
952,952,9951,9951
953,953,7907,その他製品
954,954,9949,小売業
955,955,9952,9952
956,956,7910,7910
957,957,1765,1765
958,958,1768,1768
959,959,9961,卸売業
960,960,1764,建設業
961,961,9963,9963
962,962,1767,建設業
963,963,7909,化学
964,964,1774,1774
965,965,1775,建設業
966,966,7920,7920
967,967,1777,建設業
968,968,1778,建設業
969,969,1776,1776
970,970,7924,7924
971,971,1780,1780
972,972,3829,情報・通信業
973,973,9975,小売業
974,974,3831,3831
975,975,1785,1785
976,976,7930,7930
977,977,1786,1786
978,978,3828,3828
979,979,9981,9981
980,980,7934,その他製品
981,981,1791,1791
982,982,1792,1792
983,983,7935,その他製品
984,984,1790,1790
